1,722.2,-646.6,6728,1.24,0.92,N/A,24.73,9.27,0.04,2017-11-02 11:30:21.449322
2,723.5,-639.6,6729,1.24,0.92,9.27,24.37,9.43,2.2,2017-11-02 11:30:23.609322
3,713.8,-686.6,6730,1.24,0.92,9.43,24.12,7.81,4.36,2017-11-02 11:30:25.769322
4,742.2,-641.8,6731,1.24,0.92,7.81,25.41,9.26,6.52,2017-11-02 11:30:27.929322
5,722.0,-638.2,6732,1.24,0.92,9.26,24.39,9.34,8.68,2017-11-02 11:30:30.089322
6,714.0,-684.7,6733,1.24,0.92,9.34,24.04,7.83,10.84,2017-11-02 11:30:32.249322
7,754.8,-638.1,6734,1.24,0.92,7.83,25.2,9.31,13.0,2017-11-02 11:30:34.409322
8,723.0,-673.4,6735,1.24,0.92,9.31,24.33,7.8,15.16,2017-11-02 11:30:36.569322
9,745.9,-637.6,6736,1.24,0.92,7.8,25.22,9.24,17.32,2017-11-02 11:30:38.729322
10,728.1,-646.1,6737,1.24,0.92,9.24,24.4,9.4,19.48,2017-11-02 11:30:40.889322
11,724.8,-680.3,6738,1.24,0.92,9.4,24.15,7.77,21.64,2017-11-02 11:30:43.049322
12,743.2,-639.5,6739,1.24,0.92,7.77,25.47,9.25,23.8,2017-11-02 11:30:45.209322
13,728.4,-640.0,6740,1.24,0.92,9.25,24.46,9.47,25.96,2017-11-02 11:30:47.369322
14,718.2,-646.5,6741,1.24,0.92,9.47,24.13,9.15,28.12,2017-11-02 11:30:49.529322
15,723.8,-647.5,6742,1.24,0.92,9.15,24.63,9.26,30.28,2017-11-02 11:30:51.689322
16,730.4,-643.3,6743,1.24,0.92,9.26,24.28,9.45,32.44,2017-11-02 11:30:53.849322
17,723.2,-642.3,6744,1.24,0.92,9.45,24.05,9.15,34.6,2017-11-02 11:30:56.009322
18,726.0,-643.2,6745,1.24,0.92,9.15,24.67,9.24,36.76,2017-11-02 11:30:58.169322
19,729.3,-643.8,6746,1.24,0.92,9.24,24.35,9.56,38.92,2017-11-02 11:31:00.329322
20,720.9,-640.5,6747,1.24,0.92,9.56,24.04,9.14,41.08,2017-11-02 11:31:02.489322
21,722.9,-645.9,6748,1.24,0.92,9.14,24.68,9.29,43.24,2017-11-02 11:31:04.649322
22,724.9,-644.0,6749,1.24,0.92,9.29,24.19,9.39,45.4,2017-11-02 11:31:06.809322
23,715.5,-644.6,6750,1.24,0.92,9.39,24.12,9.19,47.56,2017-11-02 11:31:08.969322
24,728.4,-645.7,6751,1.24,0.92,9.19,24.54,9.28,49.72,2017-11-02 11:31:11.129322
25,724.4,-644.9,6752,1.24,0.92,9.28,24.36,9.33,51.88,2017-11-02 11:31:13.289322
